Checking model setup.....Please wait                                                                                                                                                                                                                            
Generating External Faces ...... please wait                                                                                                                                                                                                                    
Initializing.....Please wait                                                                                                                                                                                                                                    
Finished model setup.....                                                                                                                                                                                                                                       
Initializing workers....                                                                                                                                                                                                                                        
Cycle:        0, Time:  0.000E+00s, Progress:   0.00%, Time Inc.: 2.712E-09s @ element   32704 in Part Part 4 Est. Clock Time Remaining: -         

Parallel model running on the following machines;

-----------------------------------------------------------------------
|    MACHINE NAME                  |     MASTER     |    WORKER(S)    |
-----------------------------------------------------------------------
|    DESKTOP-HRPNB5U               |        1       |        2        |
-----------------------------------------------------------------------

Cycle:       47, Time:  6.489E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 9626.2 hrs
Cycle:       48, Time:  6.666E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 9529.5 hrs
Cycle:       49, Time:  6.843E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 9440.1 hrs
Cycle:       50, Time:  7.020E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 9349.8 hrs
Cycle:       51, Time:  7.198E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 9275.5 hrs
Cycle:       52, Time:  7.375E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 9193.5 hrs
Cycle:       53, Time:  7.552E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 9113.8 hrs
Cycle:       54, Time:  7.729E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 9056.5 hrs
Cycle:       55, Time:  7.907E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8989.8 hrs
Cycle:       56, Time:  8.084E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8919.1 hrs
Cycle:       57, Time:  8.261E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8906.0 hrs
Cycle:       58, Time:  8.438E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8840.7 hrs
Cycle:       59, Time:  8.615E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8796.2 hrs
Cycle:       60, Time:  8.793E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8738.3 hrs
Cycle:       61, Time:  8.970E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8679.0 hrs
Cycle:       62, Time:  9.147E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8626.3 hrs
Cycle:       63, Time:  9.324E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8576.1 hrs
Cycle:       64, Time:  9.502E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8526.6 hrs
Cycle:       65, Time:  9.679E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8506.5 hrs
Cycle:       66, Time:  9.856E-07s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8462.4 hrs
Cycle:       67, Time:  1.003E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8413.7 hrs
Cycle:       68, Time:  1.021E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8408.0 hrs
Cycle:       69, Time:  1.039E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8372.6 hrs
Cycle:       70, Time:  1.056E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8339.9 hrs
Cycle:       71, Time:  1.074E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8300.1 hrs
Cycle:       72, Time:  1.092E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8261.5 hrs
Cycle:       73, Time:  1.110E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8228.7 hrs
Cycle:       74, Time:  1.127E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8203.8 hrs
Cycle:       75, Time:  1.145E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8183.1 hrs
Cycle:       76, Time:  1.163E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8150.1 hrs
Cycle:       77, Time:  1.181E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8117.1 hrs
Cycle:       78, Time:  1.198E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8085.6 hrs
Cycle:       79, Time:  1.216E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8093.9 hrs
Cycle:       80, Time:  1.234E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8065.0 hrs
Cycle:       81, Time:  1.251E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8031.1 hrs
Cycle:       82, Time:  1.269E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 8000.8 hrs
Cycle:       83, Time:  1.287E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7976.1 hrs
Cycle:       84, Time:  1.305E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7947.4 hrs
Cycle:       85, Time:  1.322E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7935.4 hrs
Cycle:       86, Time:  1.340E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7904.6 hrs
Cycle:       87, Time:  1.358E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7881.3 hrs
Cycle:       88, Time:  1.376E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7852.4 hrs
Cycle:       89, Time:  1.393E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7825.9 hrs
Cycle:       90, Time:  1.411E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7836.3 hrs
Cycle:       91, Time:  1.429E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7812.5 hrs
Cycle:       92, Time:  1.446E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7789.4 hrs
Cycle:       93, Time:  1.464E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7772.1 hrs
Cycle:       94, Time:  1.482E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7753.4 hrs
Cycle:       95, Time:  1.500E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7744.8 hrs
Cycle:       96, Time:  1.517E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7729.4 hrs
Cycle:       97, Time:  1.535E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7705.3 hrs
Cycle:       98, Time:  1.553E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7684.9 hrs
Cycle:       99, Time:  1.570E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7662.9 hrs
Cycle:      100, Time:  1.588E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7645.6 hrs
Cycle:      101, Time:  1.606E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7670.2 hrs
Cycle:      102, Time:  1.624E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7648.1 hrs
Cycle:      103, Time:  1.641E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7627.5 hrs
Cycle:      104, Time:  1.659E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7608.3 hrs
Cycle:      105, Time:  1.677E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7592.8 hrs
Cycle:      106, Time:  1.695E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7578.6 hrs
Cycle:      107, Time:  1.712E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7559.2 hrs
Cycle:      108, Time:  1.730E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7540.9 hrs
Cycle:      109, Time:  1.748E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7527.3 hrs
Cycle:      110, Time:  1.765E-06s, Progress:   0.00%, Time Inc.: 1.772E-08s @ element   23363 in Part Part 3 Est. Clock Time Remaining: 7511.6 hrs
